ANNEE10,SEXE,MOYENNE,D1,Q1,D5,Q3,D9,C95,C99,ECART1,ECART2,ECART3
1950,E,410,160,nd,334,nd,600,nd,nd,3.76,1.8,2.09
1951,E,473,214,nd,402,nd,769,nd,nd,3.6,1.91,1.88
1952,E,558,232,nd,470,nd,897,nd,nd,3.86,1.91,2.02
1953,E,572,252,nd,493,nd,946,nd,nd,3.76,1.92,1.96
1954,E,625,271,nd,516,nd,995,nd,nd,3.68,1.93,1.9
1955,E,690,316,nd,543,nd,1146,nd,nd,3.62,2.11,1.72
1956,E,763,342,nd,660,nd,1297,nd,nd,3.79,1.97,1.93
1957,E,843,356,nd,728,nd,1417,nd,nd,3.98,1.95,2.04
1958,E,938,396,nd,789,nd,1557,nd,nd,3.94,1.97,1.99
1959,E,998,435,nd,850,nd,1696,nd,nd,3.9,2,1.95
1960,E,1098,466,nd,936,nd,1883,nd,nd,4.04,2.01,2.01
1961,E,1186,499,nd,986,nd,1991,nd,nd,3.99,2.02,1.98
1962,E,1301,556,nd,1123,nd,2292,nd,nd,4.12,2.04,2.02
1963,E,1431,542,nd,1145,nd,2277,nd,nd,4.2,1.99,2.11
1964,E,1523,592,nd,1244,nd,2473,nd,nd,4.18,1.99,2.1
1965,E,1614,622,nd,1311,nd,2707,nd,nd,4.36,2.06,2.11
1966,E,1716,649,nd,1381,nd,2865,nd,nd,4.42,2.08,2.13
1967,E,1807,698,nd,1464,nd,3016,nd,nd,4.32,2.06,2.1
1968,E,1989,805,nd,1608,nd,3242,nd,nd,4.03,2.02,2
1969,E,2203,969,nd,1790,nd,3619,nd,nd,3.73,2.02,1.85
1970,E,2410,1022,nd,1967,nd,3963,nd,nd,3.88,2.01,1.92
1971,E,2672,1126,nd,2200,nd,4403,nd,nd,3.91,2,1.95
1972,E,2941,1240,nd,2427,nd,4871,nd,nd,3.93,2.01,1.96
1973,E,3297,1425,nd,2731,nd,5429,nd,nd,3.81,1.99,1.92
1974,E,3867,1725,nd,3186,nd,6364,nd,nd,3.69,2,1.85
1975,E,4428,1964,nd,3643,nd,7270,nd,nd,3.7,2,1.86
1976,E,5128,2327,3173,4235,5797,8308,nd,nd,3.57,1.96,1.82
1977,E,5657,2584,3525,4695,6414,9151,nd,nd,3.54,1.95,1.82
1978,E,6406,2975,4030,5330,7269,10382,nd,nd,3.49,1.95,1.79
1979,E,6956,3279,4418,5840,7945,11272,nd,nd,3.44,1.93,1.78
1980,E,7920,3719,5043,6679,9067,12796,nd,nd,3.44,1.92,1.8
1981,E,8962,4249,5703,7538,10239,14493,nd,nd,3.41,1.92,1.77
1982,E,10195,4882,6481,8550,11621,16501,nd,nd,3.38,1.93,1.75
